"chemistry_detail","chemistry","max"
Nickel rich,NMC 811,850.0
Nickel rich,NMC,840.0
Nickel rich,"",755.0
Nickel rich,NCA,727.0
"","",677.0
Nickel rich,NMC. NCA. NMC/NCA,451.0
Lithium Iron Phosphate,LFP,318.0
Nickel rich,LNCAO,296.0
Nickel rich,NMC / LTO,198.0
Lithium Cobalt Oide,LCO,195.0
Lithium Titanate,LTO,182.0
