Inde #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle % OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Ma Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Ma Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI092,ISI092,Eagle Picher Technologies LLC,Nickel rich,NMC. NCA. NMC/NCA,Prismatic,SLC16050003,Active,Prismatic,,,305.4,121.3,62.5,4.1,3.7,3,31.25,62.5,,2020,,125,31.25,,,172.7,58.4,81.5,,2016,,,,keine genaue Angabe zu Life Cycle,CCCV,,
ISI093,ISI093,Eagle Picher Technologies LLC,Nickel rich,NMC. NCA. NMC/NCA,Prismatic,SLC21060001,Active,Prismatic,,,324.1,131.7,72,4.1,3.7,3,36,72,,1974,,146,36,,,173,56.9,81.5,,N/A,,,,keine genaue Angabe zu Life Cycle,CCCV,,
ISI094,ISI094,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 32975,Active,Prismatic,2000,80,285,114,12,4.1,3.6,3,2.4,96,0.5,465,,,6,0.5,,97.9,25.3,71,,2019,,,LP329750419,,CCCV,0.02,100%
ISI095,ISI095,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 33037,Active,Prismatic,2000,80,393,160,60,4.1,3.6,3,12,250,0.5,1600,,,12,0.5,,141.3,34,137.7,,2019,,,,,CCCV,0.02,100%
ISI096,ISI096,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 33081,Active,Prismatic,2000,80,335,141,30,4.1,3.6,3,6,150,0.5,950,,,6,0.5,,140.5,28.1,95.7,,2019,,,LP330810419 ,,CCCV,0.02,100%
ISI097,ISI097,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 33330,Active,Prismatic,,,263,105,6,4.1,3.6,3,1.2,24,,222,,,,,,77.8,22.2,49.8,,2019,,,,no charge data,CCCV,0.02,100%
ISI098,ISI098,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 33450,Active,Prismatic,2000,80,378,153,43,4.1,3.6,3,8.6,200,0.5,1270,,,21.5,0.5,,151.7,30.7,106.7,,2019,,,LP334500319 ,,CCCV,0.02,100%
ISI099,ISI099,Eagle Picher Technologies LLC,Nickel rich,NCA,Prismatic,LP 34100,Active,Prismatic,,,165,70,5,4.1,3.6,3,,500,,275,,,2.5,,,143.2,7.4,105.9,,2019,,,,low temperature cell,CCCV,0.02,100%
ISI100,ISI100,Amita Technologies,Nickel rich,NMC,Pouch,9299130NE,Active,Prismatic,1500,70,512,246,16.8,4.2,3.7,2.8,3.2,32,1,240,,16,3.2,1,0.33,130,9.2,99,,N/A,,,,1C1C RT 1500 Cycle ≧ 70%SOH,CCCV,0.05,100%
ISI101,ISI101,Amita Technologies,Nickel rich,NMC / LTO,Prismatic,120155250LAL40,Active,Prismatic,7500,80,198,90,42,2.7,2.2,1.6,8,200,1,980,,120,8,1,,250,12,155,,2019,,,15.10.2019,1C1C RT > 10000,CCCV,,
ISI102,ISI102,Amita Technologies,Lithium Iron Phosphate,LFP,Prismatic,120155250PLF01,Active,Prismatic,4000,80,275,128,40,3.65,3.2,2.5,8,120,1,980,,120,8,1,0.33,250,12.2,155,,2020,,,18.06.2020,,CCCV,,
ISI103a,ISI103,Amita Technologies,Nickel rich,NMC,Prismatic,120155250N AM44E,Active,Prismatic,5000,80,384.6,202,49,4.2,3.65,2.8,9.6,144,1,885,,9.6,144,1,,250,12.2,155,,2020,,,18.06.2020,,CCCV,0.05,90%
ISI103b,ISI103,Amita Technologies,Nickel rich,NMC,Prismatic,120155250N AM44E,Active,Prismatic,3500,80,384.6,202,49,4.2,3.65,2.8,9.6,144,1,885,,9.6,144,1,,250,12.2,155,,2020,,,18.06.2020,,CCCV,0.05,100%
ISI104,ISI104,Amita Technologies,Nickel rich,NMC,Prismatic,120155250NHNH02,Active,Prismatic,3000,85,348.3,175,45,4.2,3.6,2.4,8.8,176,1,928,,176,8.8,4,,250,12.2,155,,2020,,,18.06.2020,,CCCV,0.05,
ISI105,ISI105,Amita Technologies,Nickel rich,NMC,Pouch,5099130NRS,Active,Prismatic,2000,80,333,152,5.5,4.2,3.7,2.8,,44,1,141,,27.5,,1,,130,5.23,98,,N/A,,,07.12.2008,Datasheet als Screenshot Webseite,CCCV,,
