Inde #,Group,Company Name,Chemistry_Detail,Chemistry,Format,Part #,Cell Status,Cell Shape,Cycle Life,Last Cycle % OF Initial Capacity,vol. Energy Density (Wh/l),grav. Energy Density (Wh/kg),Ma Capacity (AH),Open Circuit Voltage (V),Nominal Voltage (V),Cut Off Voltage (V),Standard Discharge Current (A),Ma Constant Discharge Current (A),Crate_discharge_cyclelife,Weight (gr),Volume (CC),Fast/Quick Charge Current,Standard Charge Current (A),Crate_charge_cyclelife,t_rest_h,Length (mm),Height (mm),Width (mm),Diameter (mm),Jahr,Datenblatt,Sekundärquelle,ID / Date,Anmerkung,Charging Methode,Crate_CV_cutoff,t_cycle_DOD
ISI162,ISI162,Hypercell,,,Cylindrical,NCR20700,Active,Cyl,300,70,,,4.25,4.25,3.6,2.5,0.85,3.4,,70,,4.05,2.125,,,,74,,20.5,2018,,,29.09.2018,,CCCV,0.02,
ISI163,ISI163,Panasonic,,,Pouch,UPF673791,Active,Prismatic,500,80,449,202,2.9,4.2,3.7,2.75,2.9,2.9,1,51,,2.9,2.9,1,,37.3,91.7,6.7,,,,,,,CCCV,0.02,
ISI164,ISI164,Kokam,,,Pouch,SLPB65216216,Active,Prismatic,800,80,,,30,4.2,3.7,2.7,30,150,0.5,700,,30,30,0.5,,220,215,6.8,,,,,,,CCCV,,80%
ISI165,ISI165,Kokam,,,Pouch,SLPB90216216,Active,Prismatic,800,80,,,40,4.2,3.7,2.7,40,200,0.5,935,,40,40,0.5,,220,215,9,,,,,,,CCCV,,80%
ISI166,ISI166,Kokam,,,Pouch,SLPB53460330,Active,Prismatic,800,80,,,70,4.2,3.7,2.7,70,350,0.5,1700,,70,70,0.5,,325,455,5.3,,,,,,,CCCV,,80%
ISI167,ISI167,Kokam,,,Pouch,SLPB30205130H,Active,Prismatic,800,80,,,5,4.2,3.7,2.7,25,50,0.5,164,,10,10,0.5,,130,206,3.1,,,,,,,CCCV,,80%
ISI168,ISI168,Kokam,,,Pouch,SLPB41205130H,Active,Prismatic,800,80,,,7.5,4.2,3.7,2.7,37.5,75,0.5,226,,15,15,0.5,,130,206,4.2,,,,,,,CCCV,,80%
ISI169,ISI169,Kokam,,,Pouch,SLPB11043140H,Active,Prismatic,500,80,,,4.8,4.2,3.7,2.7,96,192,0.5,115,,14.4,14.4,0.5,,140,42.5,11,,,,,,,CCCV,,80%
ISI170,ISI170,Kokam,,,Pouch,SLPB45205130P,Active,Prismatic,800,80,,,7.2,4.2,3.7,2.7,14.4,144,0.5,226,,21.6,21.6,0.5,,130,206,4.5,,,,,,,CCCV,,80%
ISI171,ISI171,ENERTECH,Nickel rich,NMC. NCA. NMC/NCA,Pouch,SPB 58253172P4,Active,Prismatic,2000,80,366,185,25,4.2,3.7,2.7,12.5,75,1,500,,125,12.5,1,,253,5.8,172,,2020,,,,,CCCV,,
ISI172,ISI172,Amita Technologies,Nickel rich,NMC,Prismatic,120155250NH  NH04,Active,Prismatic,3000,80,398,199,50,4.2,3.7,2.8,9,180,1,930,,180,9,3,,251,12.5,157,,2020,,,18.06.2020,,CCCV,0.05,
ISI173,ISI173,BMZ / TerraE,Nickel rich,,Cylindrical,INR 21700 58 E,Active,Cyl,800,80,,,5.7,4.2,3.6,2.75,1.14,15,1,75,,5.7,1.14,0.5,,,70.9,,21.7,2022,,,24.02.2022,,CCCV,0.02,
ISI174,ISI174,Yinglong,Lithium Titanate,LTO,Cylindrical,LTO 9Ah,Active,Cyl,16000,80,170,76,9,2.7,2.3,1.5,1.8,90,1,270,,90,1.8,1,,,140,,33.2,2022,,,,,CCCV,,
ISI175,ISI175,Yinglong,Lithium Titanate,LTO,Cylindrical,LTO 40Ah,Active,Cyl,25000,80,128,76,40,2.7,2.3,1.5,8,240,1,1210,,240,8,1,,,161,,66,2022,,,,,CCCV,,
ISI176,ISI176,Yinglong,Lithium Titanate,LTO,Cylindrical,LTO 45Ah,Active,Cyl,25000,80,144,80,45,2.7,2.3,1.5,9,225,1,1270,,225,9,1,,,161,,66,2022,,,,,CCCV,,
ISI177,ISI177,Yinglong,Lithium Titanate,LTO,Prismatic,LTO 30Ah,Active,Prismatic,16000,80,152,67,30,2.7,2.3,1.5,6,180,1,1030,,180,6,1,,,173,28.5,97,2022,,,,,CCCV,,
ISI178,ISI178,Yinglong,Lithium Titanate,LTO,Prismatic,LTO 33Ah,Active,Prismatic,16000,80,142,61,33,2.7,2.3,1.5,6.6,198,1,1245,,198,6.6,1,,,205,21,130,2022,,,,,CCCV,,
ISI179,ISI179,Yinglong,Lithium Titanate,LTO,Pouch,LTO 68Ah,Active,Prismatic,25000,80,182,81,68,2.7,2.3,1.5,13.6,476,1,1880,,476,13.6,1,,,263,12.6,256,2022,,,,,CCCV,,
ISI180,ISI180,ELERI,Lithium Titanate,LTO,Prismatic,ET30K,Active,Prismatic,16000,80,147,68,30,2.7,2.3,1.5,6,180,1,1030,,180,6,1,,,173,28,97,2022,,,,,CCCV,,
ISI181,ISI181,,Lithium Titanate,LTO,Pouch,LTO 21Ah,Active,Prismatic,25000,80,,,21,2.7,2.3,1.5,4.2,126,1,668,,126,4.2,1,,,295,10.5,120,2022,,,,,CCCV,,
ISI182,ISI182,,Nickel rich,,Pouch,E78,Active,Prismatic,2000,80,,,78,4.2,3.6,2.5,15.6,234,0.33,1110,,78,39,0.33,,510,8,98,,2022,,,2022,@25°C Room,CCCV,,
ISI183,ISI183,EVE Energy,Nickel rich,NMC,Pouch,D11,Active,Prismatic,3000,80,,210,43,4.2,3.63,2.7,8.6,137.6,,743,,43,8.6,,,188,10.8,174,,2022,,,,,CCCV,,
ISI184,ISI184,EVE Energy,Nickel rich,NMC,Pouch,D12,Active,Prismatic,3000,80,,200,30,4.2,3.68,2.7,6,90,,552,,30,6,,,227,7.2,165,,2022,,,,,CCCV,,
ISI185,ISI185,EVE Energy,Nickel rich,NMC,Pouch,D13,Active,Prismatic,3000,80,,235,51,4.2,3.7,2.7,10.2,102,,800,,51,10.2,,,227,10.5,165,,2022,,,,,CCCV,,
ISI186,ISI186,EVE Energy,Nickel rich,NMC,Pouch,D21,Active,Prismatic,3000,80,,260,52,4.2,3.7,2.7,10.4,104,,740,,52,10.4,,,305,11.5,102,,2022,,,,,CCCV,,
ISI187,ISI187,EVE Energy,Nickel rich,NMC,Prismatic,INP42P,Active,Prismatic,2000,80,,,42,4.2,3.65,2.7,8.4,84,1,740,,42,8.4,1,,148,27,97,,2022,,,,,CCCV,,
ISI188,ISI188,EVE Energy,Nickel rich,NMC,Prismatic,INP50E,Active,Prismatic,2000,80,,,50,4.2,3.65,2.7,10,100,1,880,,50,10,1,,148,27,97,,2022,,,,,CCCV,,
ISI189,ISI189,EVE Energy,Nickel rich,NMC,Prismatic,INP60E,Active,Prismatic,2000,80,,,60,4.2,3.65,2.7,12,120,1,870,,60,12,1,,148,27,97,,2022,,,,,CCCV,,
ISI190,ISI190,EVE Energy,Nickel rich,NMC,Prismatic,INP72P,Active,Prismatic,2000,80,,,72,4.2,3.65,2.7,14.4,144,1,1300,,72,14.4,1,,148,39,97,,2022,,,,,CCCV,,
ISI191,ISI191,EVE Energy,Nickel rich,NMC,Prismatic,INP80E,Active,Prismatic,2000,80,,,80,4.2,3.65,2.7,16,160,1,1320,,80,16,1,,148,39,97,,2022,,,,,CCCV,,
ISI192,ISI192,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF50,Active,Prismatic,3500,80,,,50,3.65,3.2,2,10,50,1,1380,,50,10,1,,185,30,135,,2022,,,,,CCCV,,
ISI193,ISI193,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF56K,Active,Prismatic,3500,80,,,56,3.65,3.2,2,11.2,56,1,1450,,56,11.2,1,,185,30,135,,2022,,,,,CCCV,,
ISI194,ISI194,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF75,Active,Prismatic,3500,80,,,75,3.65,3.2,2,15,75,1,1880,,75,15,1,,200,36,130,,2022,,,,,CCCV,,
SDL01248,SDL01248,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 34570,Active,Cyl,500,70,380,160,5.4,4.2,3.7,2.5,1.1,11,,125,52.8197,5.4,1.1,,,,59.43,,34.2,2007,,,72.019,,CCCV,,100%
SDL02926,SDL02926,Kokam,Nickel rich,NMC,Pouch,SLPB50106100,Active,Prismatic,800,80,,,5,4.2,3.7,2.7,2.5,10,1,115,53,5,1,1,,106,5,100,,,,,,,CCCV,,80%
SDL02927,SDL02927,Kokam,Nickel rich,NMC,Pouch,SLPB75106100,Active,Prismatic,800,80,,173,7.5,4.2,3.7,2.7,3.75,15,1,155,79.5,7.5,1.5,1,,106,7.5,100,,,,,,,CCCV,,80%
SDL02928,SDL02928,Kokam,Nickel rich,NMC,Pouch,SLPB75106205,Active,Prismatic,800,80,,174,16,4.2,3.7,2.7,8,16,1,330,162.975,16,3.2,1,,205,7.5,106,,,,,,,CCCV,,80%
SDL02929,SDL02929,Kokam,Nickel rich,NMC,Pouch,SLPB60216216,Active,Prismatic,800,80,,154,25,4.2,3.7,2.7,12.5,25,0.5,620,307.45,25,5,0.5,,220,6.5,215,,,,,,,CCCV,,80%
SDL02933,SDL02933,Kokam,Nickel rich,NMC,Pouch,SLPB70460330,Active,Prismatic,800,80,,179,100,4.2,3.7,2.7,50,100,0.5,2320,1064.7,100,20,0.5,,455,7.2,325,,,,,,,CCCV,,80%
SDL02945,SDL02945,Kokam,Nickel rich,NMC,Pouch,SLPB55205130H,Active,Prismatic,800,80,,145,11,4.2,3.7,2.7,5.5,55,0.5,292,149.968,22,2.2,0.5,,206,5.6,130,,,,,,,CCCV,,80%
SDL02946,SDL02946,Kokam,Nickel rich,NMC,Pouch,SLPB78216216H,Active,Prismatic,800,80,,158,31,4.2,3.7,2.7,15.5,155,0.5,860,397.32,62,6.2,0.5,,220,8.4,215,,,,,,,CCCV,,80%
SDL02948,SDL02948,Kokam,Nickel rich,NMC,Pouch,SLPB60460330H,Active,Prismatic,800,80,,149,70,4.2,3.7,2.7,35,350,0.5,1950,857.675,140,14,0.5,,455,5.8,325,,,,,,,CCCV,,80%
SDL02949,SDL02949,Kokam,Nickel rich,NMC,Pouch,SLPB80460330H,Active,Prismatic,800,80,,155,100,4.2,3.7,2.7,50,500,0.5,2700,1197.7875,200,20,0.5,,455,8.1,325,,,,,,,CCCV,,80%
SDL02950,SDL02950,Kokam,Nickel rich,NMC,Pouch,SPLB160460330H,Active,Prismatic,800,80,,162,200,4.2,3.7,2.7,100,400,0.5,5260,2513.875,200,40,0.5,,455,17,325,,,,,,,CCCV,,80%
SDL03609,SDL03609,HYB Battery Co,,,Prismatic,IMP206990S,Active,Prismatic,400,80,,,9,4.2,3.7,3,3,27,0.33,310,144.9,4.5,1.8,0.33,,103,20,69,,,,,File No: QP–09–E302 ,,CCCV,0.02,80%
SDL03617,SDL03617,HYB Battery Co,,,Prismatic,IMP50110140S,Active,Prismatic,400,80,,,60,4.2,3.6,3,12,30,0.33,1850,852.5,30,12,0.33,,155,50.5,110,,,,,,,CCCV,0.01,80
SDL05872,SDL05872,Advanced Electronics Energy,,,Pouch,AE8867220PMHRE,Active,Prismatic,300,80,,,10.5,4.2,3.7,2.75,1.94,19.4,0.5,258,129.712,9.7,4.85,0.5,,220,8.8,67,,2006,,,,,CCCV,0.02,90%
SDL06597,SDL06597,Yoku Energy (Shenzhen) Co,,,Pouch,656096,Active,Prismatic,300,75,,,3.6,4.2,3.7,2.75,0.72,3.6,0.2,74,37.44,1.8,0.72,0.2,,96,6.5,60,,2011,,,19.01.2011,,CCCV,0.05,90%
SDL06600,SDL06600,Yoku Energy (Shenzhen) Co,,,Pouch,8235135,Active,Prismatic,300,80,,,3.5,4.2,3.7,2.75,0.7,,0.2,71,38.745,1.75,0.72,0.2,,136,8.2,35.5,,2008,,,10.09.2008,,CCCV,0.05,
SDL06638,SDL06638,Yoku Energy (Shenzhen) Co,,,Pouch,6567100,Active,Prismatic,300,75,,,4,4.2,3.7,2.75,0.75,4,0.2,82,43.55,4,0.75,0.2,,101,6.7,67.5,,2011,,,19.01.2011,,CCCV,0.05,
SDL06646,SDL06646,Yoku Energy (Shenzhen) Co,,,Pouch,7545135,Active,Prismatic,300,80,,,4.2,4.2,3.7,2.75,0.84,4.2,0.2,78,45.5625,4.2,0.84,0.2,,135,7.5,45,,2008,,,25.10.2008,,CCCV,0.05,
SDL07227,SDL07227,ATL  Ampere Technology,,,Pouch,5080122,Active,Prismatic,500,80,,,4.53,4.2,3.7,3,0.906,,0.5,106,50.752,4.53,2.26,0.5,,122,5.2,80,,2008,,,11.12.2008,,CCCV,,
SDL07234,SDL07234,ATL  Ampere Technology,,,Pouch,8235138,Active,Prismatic,500,80,,,3.8,4.2,3.7,3,0.76,3.8,0.2,85,41.055,3.8,1.9,0.2,,138,8.5,35,,2008,,,11.12.2008,,CCCV,,
SDL07236,SDL07236,ATL  Ampere Technology,,,Pouch,8045135,Active,Prismatic,500,80,,,4.4,4.2,3.7,3,0.88,4.4,0.2,95,48.6,4.4,2.2,0.2,,135,8,45,,2008,,,11.12.2008,,CCCV,,
SDL07237,SDL07237,ATL  Ampere Technology,,,Pouch,8845135,Active,Prismatic,500,80,,,4.75,4.2,3.7,3,0.95,4.75,0.2,105,54.675,4.75,2.375,0.2,,135,9,45,,2008,,,11.12.2008,,CCCV,,
SDL07238,SDL07238,ATL  Ampere Technology,,,Pouch,5048168,Active,Prismatic,300,80,,,3.8,4.2,3.7,3,0.76,3.8,0.2,85,41.405,3.8,1.9,0.2,,169,5,49,,2008,,,16.12.2008,,CCCV,,
SDL07239,SDL07239,ATL  Ampere Technology,,,Pouch,6048168,Active,Prismatic,300,80,,,4.2,4.2,3.7,3,0.84,4.2,0.2,100,49.686,4.2,2.1,0.2,,169,6,49,,2008,,,16.12.2008,,CCCV,,
SDL07240,SDL07240,ATL  Ampere Technology,,,Pouch,7048168,Active,Prismatic,300,80,,,5.5,4.2,3.7,3,1.1,5.5,0.2,113,62.9356,5.5,2.75,0.2,,169,7.6,49,,2008,,,16.12.2008,,CCCV,,
SDL09564,SDL09564,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 12 V,Active,Cyl,2000,80,175,74,12,4.1,3.6,2.75,12,1500,,640,270,180,12,,,,173,,47,2007,,,22.007,,CCCV,0.01,100%
SDL09565,SDL09565,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 34480,Active,Cyl,500,70,380,160,4.4,4.2,3.7,2.5,0.9,8.8,,103,45.8282,4.4,1.1,,,,50.8,,33.9,2007,,,112.007,,CCCV,,100%
SDL09566,SDL09566,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 37570,Active,Cyl,500,70,385,175,7,4.2,3.7,2.5,1.4,14,,149,65.3326,7,1.4,,,,59.5,,37.4,2007,,,112.007,,CCCV,,100%
SDL12690,SDL12690,General Electronics Battery Co,,,Cylindrical,GEB32650,Active,Cyl,600,80,,,6,4.2,3.7,2.75,3,6,0.2,140,52.2496,3,1.2,0.2,,,66.5,,32.5,2018,,,06.03.2019,,CCCV,,100%
SDL12800,SDL12800,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 4V,Active,Cyl,2000,80,100,50,4.4,4.1,3.6,2.5,4.4,500,1,320,161.0466,66,4.4,1,,,175.4,,34.2,2007,,,42.007,,CCCV,0.01,100%
SDL12801,SDL12801,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 6A,Active,Cyl,5000,80,,,6,4.1,3.65,2,12,750,,340,158.6681,90,6,,,,165,,35,2007,,,92.007,,CCCV,0.01,100%
SDL12802,SDL12802,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 8V,Active,Cyl,2000,80,122,65,8.5,4.1,3.6,2.5,8.5,1000,,470,252.0227,127.5,8.5,,,,182,,42,2007,,,42.007,,CCCV,0.01,100%
SDL14721,SDL14721,EOne Moli Energy (Canada) Limited,,,Cylindrical,IBR26700A,Active,Cyl,500,80,335,135,3.5,4.2,3.75,2.5,0.7,15,2.9,95,38.298,3.7,0.7,2.9,,,70,,26.4,2006,,,92.006,,CCCV,,
SDL14857,SDL14857,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 32600125,Active,Cyl,200,70,,,4.5,4.1,3.6,2.5,0.9,2.3,0.2,139,55.5009,2,0.9,0.2,,,61.85,,32.05,2010,,,12.010,,CCCV,,100%
SDL14876,SDL14876,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 34P,Active,Cyl,2000,80,280,120,33,4.1,3.6,2.5,33,500,0.5,940,410,16.5,16.25,0.5,,,195,,54,2007,,,62.007,,CCCV,,100%
SDL14955,SDL14955,Wuhan Lisun Power Corp. Ltd,,,Prismatic,IMP225054S,Active,Prismatic,400,80,,,3.5,4.2,3.7,2.75,0.7,3.5,1,155,67.116,1,0.7,1,,56,23.5,51,,2006,,,File No.:Q/L.S.E.04.0222006 ,,CCCV,0.02,
SDL14956,SDL14956,Wuhan Lisun Power Corp. Ltd,,,Prismatic,IMP225058S,Active,Prismatic,500,80,,,4,4.2,3.7,2.75,0.8,4,1,160,71.91,1,0.8,1,,60,23.5,51,,2006,,,File No.:Q/L.S.E.04.0212006 ,,CCCV,0.02,
SDL14957,SDL14957,Wuhan Lisun Power Corp. Ltd,,,Prismatic,ICP174167S,Active,Prismatic,500,80,,,4,4.2,3.7,2.75,0.8,1,1,130,53.613,1,0.8,1,,69,18.5,42,,2006,,,File No.:Q/L.S.E.04.0022006 ,,CCCV,0.02,
SDL14958,SDL14958,Wuhan Lisun Power Corp. Ltd,,,Prismatic,ICP254145S,Active,Prismatic,500,80,,,4,4.2,3.7,2.75,0.8,2,1,115,52.311,1,0.8,1,,47,25.5,41.5,,2006,,,File No.:Q/L.S.E.04.0242006 ,,CCCV,0.02,
SDL14959,SDL14959,Wuhan Lisun Power Corp. Ltd,,,Prismatic,ICP225054S,Active,Prismatic,500,80,,,5,4.2,3.7,2.75,1,1,1,155,67.116,1,1,1,,56,23.5,51,,2006,,,,,CCCV,0.02,
SDL14960,SDL14960,Wuhan Lisun Power Corp. Ltd,,,Prismatic,IMP225069S,Active,Prismatic,500,80,,,5,4.2,3.7,2.75,1,1,1,195,85.0935,1,1,1,,71,23.5,51,,2006,,,File No.:Q/L.S.E.04.0082006 ,,CCCV,0.02,
SDL14961,SDL14961,Wuhan Lisun Power Corp. Ltd,,,Prismatic,ICP226769S,Active,Prismatic,500,80,,,6.5,4.2,3.7,2.75,1.3,3,1,235,113.458,1,1.3,1,,71,23.5,68,,2006,,,,,CCCV,0.02,
SDL14962,SDL14962,Wuhan Lisun Power Corp. Ltd,,,Prismatic,ICP225069S,Active,Prismatic,500,80,,,7,4.2,3.7,2.75,1.4,1.4,1,195,85.0935,1.4,1.4,1,,71,23.5,51,,2006,,,File No.:Q/L.S.E.04.0062006 ,,CCCV,0.02,
SDL14963,SDL14963,Wuhan Lisun Power Corp. Ltd,,,Prismatic,ICP226754M,Active,Prismatic,500,80,,,7,4.2,3.7,2.75,7,7,1,210,110.262,7,7,1,,69,23.5,68,,2006,,,File No.:Q/L.S.E.04.0162006 ,,CCCV,0.02,
SDL14964,SDL14964,Wuhan Lisun Power Corp. Ltd,,,Prismatic,ICP226769S,Active,Prismatic,500,80,,,9,4.2,3.7,2.75,1.8,1.8,1,235,113.458,1.8,1.8,1,,71,23.5,68,,2006,,,File No.:Q/L.S.E.04.0102006 ,,CCCV,0.02,
SDL14965,SDL14965,Wuhan Lisun Power Corp. Ltd,,,Prismatic,ICP257054M,Active,Prismatic,500,80,,,9,4.2,3.7,2.75,9,9,1,250,129.8235,9,9,1,,71,26.5,69,,2006,,,File No.:Q/L.S.E.04.0182006 ,,CCCV,0.02,
SDL16572,SDL16572,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 52E,Active,Cyl,500,80,392,178,52,4.1,3.6,2.75,10.4,52,1,1000,476.1245,52,5.2,1,,,208,,54,,,,,,CCCV,0.01,100
SDL16776,SDL16776,Kayo battery co.. ltd,Lithium Iron Phosphate,LFP,Cylindrical,KFL 3265010P,Active,Cyl,2000,80,,,3.8,3.65,3.2,2.5,0.76,38,0.5,120,53.8952,3.8,1.52,0.5,,,65,,32.5,2008,,,,,CCCV,,
SDL16777,SDL16777,Kayo battery co.. ltd,Lithium Iron Phosphate,LFP,Cylindrical,KFL 32650,Active,Cyl,2000,80,,,4,3.65,3.2,2.5,0.8,12,0.5,125,53.8952,4,1.6,0.5,,,65,,32.5,2008,,,,,CCCV,,
SDL16819,SDL16819,GS Yuasa Technology,Lithium Cobalt Oide,LCO,Prismatic,LVP10,Active,Prismatic,500,80,195,87,11.5,4.2,3.7,3,1.15,57.5,,490,218.4,11.5,2.3,,,130,21,80,,,,,,,CCCV,,
SDL16835a,SDL16835,EAS Batteries,Nickel rich,NCA,Cylindrical,HP601300 NCA,Active,Cyl,1000,80,264,99,27,4.2,3.6,2.7,54,270,0.5,980,449.334,162,27,0.5,,,159,,60,2009,,,62.009,,CCCV,0.01,100%
SDL16835b,SDL16835,EAS Batteries,Nickel rich,NCA,Cylindrical,HP601300 NCA,Active,Cyl,2000,60,264,99,27,4.2,3.6,2.7,54,270,0.5,980,449.334,162,27,0.5,,,159,,60,2009,,,62.009,,CCCV,0.01,100%
SDL18448,SDL18448,Saft,Nickel rich,NMC. NCA. NMC/NCA,Prismatic,MP174565,Active,Prismatic,600,70,423,175,4.8,4.2,3.75,2.5,1,10,0.5,103,42.5,5,1,1,,70,18.1,45.5,,2009,,,92.009,,CCCV,,100%
SDL18449,SDL18449,Saft,Nickel rich,NMC. NCA. NMC/NCA,Prismatic,MP174865 IS,Active,Prismatic,850,70,335,140,4.8,4.1,3.65,2.5,1.1,10,0.5,124,52,5,0.58,0.5,,65,19,48,,2007,,,112.007,,CCCV,,100%
SDL18452,SDL18452,Saft,Nickel rich,NMC. NCA. NMC/NCA,Cylindrical,VL 48E,Active,Cyl,500,80,300,150,48,4.1,3.6,2.5,4.8,100,,1150,572.265,48,4.8,,,,245,,54,2007,,,92.007,,CCCV,,100%
SDL18653,SDL18653,Saft,Lithium Iron Phosphate,LFP,Cylindrical,VL 10VFE,Active,Cyl,600,80,128,54,10,3.65,3.3,2.5,10,1500,,600,270,10,1,,,,173,,47,2007,,,22.007,,CCCV,,
SDL18654,SDL18654,Saft,Lithium Iron Phosphate,LFP,Cylindrical,VL 25PFE,Active,Cyl,2500,75,189,89,25,3.65,3.3,2.5,25,500,0.5,940,451.3401,12.5,5,0.5,,,195,,54,2007,,,82.007,,CCCV,,
SDL20110,SDL20110,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP6545135,Active,Prismatic,500,80,,,3.8,4.2,3.7,2.7,0.76,7.6,0.5,82,39.4875,1.75,0.76,0.5,,135,6.5,45,,,,,,,CCCV,,
SDL20112a,SDL20112,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP8545135PCMLD,Active,Prismatic,500,80,,,5.6,4.2,3.7,2.7,1.12,11.2,0.5,105,51.6375,5.6,1.12,0.5,,135,8.5,45,,2015,,,14.10.2015,,CCCV,,
SDL20112b,SDL20112,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP8545135PCMLD,Active,Prismatic,800,80,,,5.6,4.2,3.7,2.7,1.12,11.2,0.2,105,51.6375,5.6,1.12,0.2,,135,8.5,45,,2015,,,14.10.2015,,CCCV,,
SDL20131a,SDL20131,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP6548166,Active,Prismatic,500,80,,,5.6,4.2,3.7,2.7,1.12,11.2,0.5,112,51.792,5.6,1.12,0.5,,166,6.5,48,,2018,,,03.11.2020,,CCCV,,
SDL20131b,SDL20131,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP6548166,Active,Prismatic,800,80,,,5.6,4.2,3.7,2.7,1.12,11.2,0.2,112,51.792,5.6,1.12,0.2,,166,6.5,48,,2018,,,03.11.2020,,CCCV,,
SDL20132a,SDL20132,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP6848166,Active,Prismatic,500,80,,,5.2,4.2,3.7,2.7,1.04,10.4,0.5,110,54.1824,5.2,1.04,0.5,,166,6.8,48,,2017,,,03.11.2020,,CCCV,,
SDL20132b,SDL20132,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP6848166,Active,Prismatic,800,80,,,5.2,4.2,3.7,2.7,1.04,10.4,0.2,110,54.1824,5.2,1.04,0.2,,166,6.8,48,,2017,,,03.11.2020,,CCCV,,
SDL20133a,SDL20133,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP7548166,Active,Prismatic,500,80,,,6.2,4.2,3.7,2.7,1.24,12.4,0.5,124.5,59.76,6.2,1.24,0.5,,166,7.5,48,,2017,,,28.07.2017,,CCCV,,
SDL20133b,SDL20133,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP7548166,Active,Prismatic,800,80,,,6.2,4.2,3.7,2.7,1.24,12.4,0.2,124.5,59.76,6.2,1.24,0.2,,166,7.5,48,,2017,,,28.07.2017,,CCCV,,
SDL20149a,SDL20149,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP855085PCMNTCLD,Active,Prismatic,500,80,,,3.9,4.2,3.7,2.7,0.78,7.8,0.5,78,36.125,3.9,0.78,0.5,,85,8.5,50,,2015,,,,,CCCV,,
SDL20149b,SDL20149,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP855085PCMNTCLD,Active,Prismatic,800,80,,,3.9,4.2,3.7,2.7,0.78,7.8,0.2,78,36.125,3.9,0.78,0.2,,85,8.5,50,,2015,,,,,CCCV,,
SDL20153a,SDL20153,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP9051109PCMNTCLD,Active,Prismatic,500,80,,,5.5,4.2,3.7,2.7,1.1,11,0.5,110,50.031,5.5,1.1,0.5,,109,9,51,,2018,,,,,CCCV,,
SDL20153b,SDL20153,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP9051109PCMNTCLD,Active,Prismatic,800,80,,,5.5,4.2,3.7,2.7,1.1,11,0.2,110,50.031,5.5,1.1,0.2,,109,9,51,,2018,,,,,CCCV,,
SDL20180a,SDL20180,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP925572,Active,Prismatic,500,80,,,4,4.2,3.7,2.7,0.8,8,0.5,72,36.432,4,0.8,0.5,,72,9.2,55,,2017,,,14.07.2017,,CCCV,,
SDL20180b,SDL20180,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP925572,Active,Prismatic,800,80,,,4,4.2,3.7,2.7,0.8,8,0.2,72,36.432,4,0.8,0.2,,72,9.2,55,,2017,,,14.07.2017,,CCCV,,
SDL20209a,SDL20209,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP956167PCMLD,Active,Prismatic,500,80,,,4,4.2,3.7,2.7,0.8,8,0.5,80,38.8265,4,0.8,0.5,,67,9.5,61,,2015,,,23.09.2015,,CCCV,,
SDL20209b,SDL20209,Eemb Co,Lithium Cobalt Oide,ambigious  LCO,Pouch,LP956167PCMLD,Active,Prismatic,800,80,,,4,4.2,3.7,2.7,0.8,8,0.2,80,38.8265,4,0.8,0.2,,67,9.5,61,,2015,,,23.09.2015,,CCCV,,
